694	1513
699	1548
827	1187
864	1270
834	1266
298	538
177	297
420	775
796	1665
317	628
134	1571
100	798
155	348
348	6
117	1256
553	1380
727	284
440	553
48	1604
588	1628
446	254
236	367
725	779
852	515
142	1399
676	495
824	1371
140	128
276	1251
261	1429
499	1290
804	718
764	804
411	961
405	1247
700	1392
831	224
522	969
848	324
227	632
536	837
749	145
785	1048
16	1705
449	1123
446	256
17	1203
297	649
802	1490
280	1241
732	442
331	101
273	543
559	1500
807	1226
779	660
740	403
658	1205
848	325
376	1741
885	614
418	1644
299	1104
651	266
403	1069
705	1052
701	1382
93	1700
177	296
369	380
788	1539
258	1209
308	997
666	876
311	1146
470	396
538	1183
660	736
435	427
366	744
338	1348
405	1246
31	253
661	85
148	1637
572	23
92	50
754	849
183	979
573	600
510	944
441	1600
691	11
211	670
732	443
430	1009
631	1355
239	914
162	363
402	570
448	758
828	72
234	1360
465	316
498	1410
380	1341
413	865
370	1153
634	739
118	191
584	252
168	421
358	1128
410	1306
1	430
695	1191
563	481
423	310
885	612
520	401
636	413
725	777
491	1581
672	630
176	96
371	67
737	1443
359	943
271	1721
586	1687
137	397
785	1047
72	459
103	116
48	1605
3	955
323	431
407	891
399	910
500	884
69	1457
28	1239
848	327
391	1685
372	452
750	448
164	353
463	927
885	615
235	180
835	1731
396	1596
378	1071
804	720
667	1594
556	890
672	629
645	494
809	1680
77	785
579	1465
748	306
129	454
404	1084
747	389
765	1324
624	1660
481	566
20	1389
487	135
884	311
772	230
687	536
259	1744
612	858
638	872
696	691
294	1702
207	1648
426	721
807	1225
639	1428
52	456
534	149
95	1365
70	523
593	1309
330	154
559	1499
788	1538
116	1137
411	962
161	243
879	62
680	1169
263	1515
261	1431
747	388
98	1377
248	550
164	354
852	513
519	1074
526	1611
529	1710
26	726
512	1081
525	749
656	355
416	299
517	1315
815	1473
739	1330
831	225
112	545
458	541
612	857
799	1518
513	767
671	237
546	1675
734	764
648	20
849	1388
830	626
629	374
694	1511
808	7
399	909
331	102
429	880
799	1519
834	1265
637	1072
490	1553
774	232
562	806
305	1618
560	173
448	757
262	1531
565	845
506	1091
662	609
637	1580
872	1151
505	322
184	1374
537	1105
815	1471
835	1728
810	1293
568	681
181	1236
321	1481
547	700
145	341
773	58
824	1372
400	1317
578	86
526	1612
467	59
866	65
868	1145
702	170
305	1619
270	1608
699	1545
426	723
794	295
751	604
857	351
24	1706
699	1547
664	337
375	939
806	1261
696	692
777	1305
730	1
868	1144
589	795
628	46
677	1639
184	1373
191	126
837	1738
539	1037
425	338
585	673
401	1673
34	165
67	463
641	832
317	627
423	309
742	1564
384	371
113	146
689	650
333	633
821	1588
79	611
784	1562
735	659
149	505
877	561
554	1353
464	559
166	1461
319	399
516	176
636	414
887	1541
746	923
295	1322
456	141
133	1095
427	1057
139	432
363	1162
422	1492
286	1723
471	1197
459	539
705	1051
126	575
157	209
438	1083
871	1635
751	603
694	1510
714	1664
495	27
228	1364
293	825
828	71
736	529
468	282
189	1345
374	1670
374	1671
57	345
833	1035
344	861
598	1446
691	12
87	714
605	183
650	157
706	1417
886	993
565	846
126	574
302	985
294	1703
307	1641
701	1383
259	1745
787	1157
139	433
442	195
672	631
509	393
76	1164
224	1244
469	218
260	821
185	908
856	9
801	359
382	304
808	8
764	803
141	1272
710	118
831	227
812	838
463	926
855	1338
757	477
860	1333
206	1117
814	1255
493	98
155	347
149	504
559	1501
612	859
861	1450
748	637
528	80
704	1097
479	357
869	556
765	1325
753	54
134	1570
883	988
124	829
129	455
190	1143
352	204
799	1520
419	473
848	326
267	1423
644	580
84	991
441	1601
513	768
820	706
348	5
552	259
340	1320
391	1684
193	280
169	1467
852	511
634	740
439	1712
354	651
97	207
646	1691
405	1245
548	300
21	755
278	911
787	1161
57	344
7	571
196	802
682	188
660	737
536	834
792	1176
842	1669
574	868
759	676
39	1279
844	272
627	335
369	381
252	418
161	244
504	623
538	1181
512	1080
205	551
638	873
629	373
748	308
411	960
796	1667
199	1722
686	369
840	506
760	1200
290	287
574	869
541	1557
618	444
711	1257
539	1038
484	210
397	1268
706	1416
551	921
696	690
320	161
313	36
741	646
817	1620
825	973
615	14
388	1212
306	826
637	1578
463	928
576	1029
774	234
847	1079
647	1135
200	1576
878	428
668	235
322	192
530	336
437	320
387	729
342	446
335	372
585	674
490	1552
500	883
373	461
552	258
349	941
449	1125
617	40
461	572
683	1127
285	1232
674	1400
699	1546
447	977
798	4
144	1065
589	797
394	1533
706	1418
879	64
801	360
486	813
710	117
445	1297
571	34
609	498
659	1064
347	501
716	948
499	1289
726	290
314	1426
846	1732
755	1624
754	850
540	946
260	823
523	1220
158	387
280	1240
644	578
216	422
131	1114
6	597
127	732
803	1743
277	782
353	820
533	1516
549	1215
558	1486
282	15
566	687
89	125
141	1273
636	412
829	1474
740	404
723	851
833	1033
500	881
536	835
655	665
62	366
295	1321
215	1368
344	862
209	1361
316	1479
590	1483
326	533
431	1453
372	450
84	992
616	187
602	260
837	1740
745	1657
87	713
743	378
862	591
411	959
443	981
78	132
829	1477
687	535
828	73
757	478
498	1412
